firmname;address;contact_number
"ООО 'ЗерноПродукт'";ул. Аграрная, 1, г. Москва;+7 (495) 987-65-43  
"ИП 'Сладкие поставки'";пр. Сахарный, 5, г. Краснодар;+7 (861) 876-54-32  
"Ферма 'Свежие яйца'";ул. Птицефабричная, 3, г. Белгород;+7 (472) 765-43-21  
"Молкомбинат 'Белая корова'";ул. Молочная, 7, г. Воронеж;+7 (473) 654-32-10  
"Кооператив 'Мёд России'";ул. Пчелиная, 12, г. Уфа;+7 (347) 543-21-09  
"Импортер 'ОрехЭкспорт'";ул. Южная, 22, г. Сочи;+7 (862) 432-10-98  
"Компания 'ФруктТрейд'";ул. Садовая, 15, г. Крымск;+7 (861) 321-09-87  
"База 'Овощная'";ул. Торговая, 30, г. Ростов-на-Дону;+7 (863) 210-98-76  
"Цех 'Пряности Востока'";ул. Восточная, 8, г. Казань;+7 (843) 109-87-65  
"ООО 'МясоСнаб'";ул. Мясницкая, 10, г. Москва;+7 (495) 098-76-54  
"Рыбхоз 'Волга'";ул. Рыбацкая, 4, г. Астрахань;+7 (851) 987-65-43  
"Сырный двор 'Элит'";ул. Сыроваров, 6, г. Кострома;+7 (494) 876-54-32  
"Фирма 'Заморозка'";ул. Холодильная, 9, г. Мурманск;+7 (815) 765-43-21  
"Кофе-Импорт 'Арабика'";ул. Кофейная, 11, г. Санкт-Петербург;+7 (812) 654-32-10  
