address;contact_number;manager_id
ул. Пушкина, д. 15, г. Москва;+7 (495) 123-45-67;1
пр. Ленина, д. 42, г. Санкт-Петербург;+7 (812) 234-56-78;2
ул. Гагарина, д. 8, г. Казань;+7 (843) 345-67-89;3
пр. Мира, д. 33, г. Екатеринбург;+7 (343) 456-78-90;4
ул. Советская, д. 20, г. Новосибирск;+7 (383) 567-89-01;5
бульвар Победы, д. 5, г. Ростов-на-Дону;+7 (863) 678-90-12;6
ул. Кирова, д. 12, г. Нижний Новгород;+7 (831) 789-01-23;7
пр. Строителей, д. 7, г. Самара;+7 (846) 890-12-34;8
ул. Лермонтова, д. 25, г. Уфа;+7 (347) 901-23-45;9
пл. Революции, д. 3, г. Краснодар;+7 (861) 012-34-56;10
